Feature,Importance
Credit amount,0.7268235375268104
Duration,0.13525504566551197
Job,0.04255276084608818
Age,0.04229019473196718
Housing_own,0.01072553344273917
Checking account_moderate,0.009852277705004527
Saving accounts_little,0.006514667437127576
Sex_male,0.0052405060623985245
Housing_rent,0.004735553497018495
Checking account_rich,0.003985017761046906
Checking account_little,0.003957360516082535
Saving accounts_quite rich,0.0031936236789442047
Saving accounts_moderate,0.0029454768917378162
Saving accounts_rich,0.0019284442375224478
